cosid,rms_cdw_id,general_offense_number,offense_code,offense_code_extension,offense_type,summary_offense_code,summarized_offense_description,date_reported,occurred_date_or_date_range_start,occurred_date_range_end,hundred_block_location,district_sector,zone_beat,census_tract_2000,longitude,latitude,Relative_Date,geom
95018,771393,2016107414,1305,0,ASSLT-AGG-WEAPON,1300,ASSAULT,03/28/2016 09:03:00 PM +0000,03/28/2016 09:03:00 PM +0000,,1 AV / YESLER WY,K,K1,9200.2007,-122.334182739,47.601722717,03/28/2016 05:00:54 AM +0000,"(47.601722717, -122.334182739)"
94928,771299,2016107189,2606,1,FRAUD-CHECK,2600,FRAUD,03/28/2016 05:04:00 PM +0000,03/01/2016 12:00:00 AM +0000,03/28/2016 12:00:00 PM +0000,102XX BLOCK OF LAKE CITY WY NE,L,L2,1100.2015,-122.301612854,47.703125,03/28/2016 05:00:54 AM +0000,"(47.703125, -122.301612854)"
95019,771394,2016106667,1316,4,THREATS-OTHER,1300,THREATS,03/28/2016 09:42:00 AM +0000,03/28/2016 09:42:00 AM +0000,,3XX BLOCK OF PONTIUS AV N,D,D3,7300.1027,-122.331710815,47.621391296,03/28/2016 05:00:54 AM +0000,"(47.621391296, -122.331710815)"
93836,770202,2016107313,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,03/28/2016 06:59:00 PM +0000,03/27/2016 12:00:00 PM +0000,03/28/2016 06:00:00 PM +0000,8XX BLOCK OF N 36 ST,B,B2,4900.2017,-122.348930359,47.651199341,03/28/2016 05:00:54 AM +0000,"(47.651199341, -122.348930359)"
94826,771195,2016107662,1316,5,THREATS-WEAPON,1300,THREATS,03/29/2016 03:07:00 AM +0000,03/29/2016 03:07:00 AM +0000,,14XX BLOCK OF NW MARKET ST,B,B1,4700.3021,-122.374900818,47.66866684,03/28/2016 05:00:54 AM +0000,"(47.66866684, -122.374900818)"
94517,770884,2016106901,2589,1,FORGERY-OTH,2500,FORGERY,03/28/2016 01:29:00 PM +0000,12/29/2015 04:15:00 PM +0000,03/24/2016 03:00:00 PM +0000,90XX BLOCK OF SEWARD PARK AV S,S,S3,11800.6018,-122.26449585,47.522407532,03/28/2016 05:00:54 AM +0000,"(47.522407532, -122.26449585)"
95015,771390,2016107121,2605,0,FRAUD-CREDIT CARD,2600,FRAUD,03/28/2016 05:19:00 PM +0000,03/25/2016 10:00:00 AM +0000,03/27/2016 10:00:00 PM +0000,26XX BLOCK OF NE 65 ST,U,U3,4301.2002,-122.298995972,47.675777435,03/28/2016 05:00:54 AM +0000,"(47.675777435, -122.298995972)"
94927,771298,2016107235,1204,0,ROBBERY-STREET-GUN,1200,ROBBERY,03/28/2016 06:54:00 PM +0000,03/25/2016 12:45:00 PM +0000,,4 AV S / S WASHINGTON ST,K,K3,9200.1004,-122.328964233,47.60087204,03/28/2016 05:00:54 AM +0000,"(47.60087204, -122.328964233)"
94819,771188,2016106993,2303,0,THEFT-SHOPLIFT,2300,SHOPLIFTING,03/28/2016 02:40:00 PM +0000,03/28/2016 02:25:00 PM +0000,,6XX BLOCK OF PINE ST,M,M2,8200.1002,-122.334815979,47.612369537,03/28/2016 05:00:54 AM +0000,"(47.612369537, -122.334815979)"
95306,771795,2016107664,1206,0,ROBBERY-STREET-BODYFORCE,1200,ROBBERY,03/29/2016 06:22:00 AM +0000,03/29/2016 03:22:00 AM +0000,,E PIKE ST / BOYLSTON AV,E,E2,8400.1005,-122.323402405,47.614067078,03/28/2016 05:00:54 AM +0000,"(47.614067078, -122.323402405)"
